what,kind,bundleId,bundleVersion,description,time
started,bundle,org.springframework.ide.eclipse.beans.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.beans.ui",1519047524005
started,bundle,org.springframework.ide.eclipse.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.core",1519047524006
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1519047524006
started,bundle,org.springframework.ide.eclipse.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.ui",1519047524006
started,bundle,org.tigris.subversion.clientadapter,1.10.1,"org.tigris.subversion.clientadapter",1519047524006
started,bundle,org.tigris.subversion.subclipse.core,1.10.5,"org.tigris.subversion.subclipse.core",1519047524007
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1519047524010
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1519047524010
started,bundle,org.tigris.subversion.subclipse.ui,1.10.5,"org.tigris.subversion.subclipse.ui",1519047524011
os,sysinfo,,,"win32",1519047524015
arch,sysinfo,,,"x86",1519047524015
ws,sysinfo,,,"win32",1519047524015
locale,sysinfo,,,"fr_FR",1519047524015
processors,sysinfo,,,"4",1519047524015
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1519047524015
java.runtime.version,sysinfo,,,"1.6.0_10-b33",1519047524015
java.specification.name,sysinfo,,,"Java Platform API Specification",1519047524015
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1519047524015
java.specification.version,sysinfo,,,"1.6",1519047524015
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1519047524015
java.version,sysinfo,,,"1.6.0_10",1519047524015
java.vm.info,sysinfo,,,"mixed mode",1519047524015
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1519047524015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1519047524015
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1519047524015
java.vm.specification.version,sysinfo,,,"1.0",1519047524015
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1519047524015
java.vm.version,sysinfo,,,"11.0-b15",1519047524015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1519047524068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1519047525536
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1519047532752
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1519047557645
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1519047557647
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1519047557648
started,bundle,com.collabnet.subversion.merge,4.0.2,"com.collabnet.subversion.merge",1519047557648
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1519047557649
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1519047557649
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1519047557650
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1519047557650
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1519047557651
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1519047557652
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1519047557652
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1519047557653
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1519047557653
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1519047557653
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1519047557654
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1519047557654
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1519047557655
started,bundle,org.eclipse.emf.common,2.10.0.v20140514-1158,"org.eclipse.emf.common",1519047557655
started,bundle,org.eclipse.emf.common.ui,2.9.0.v20140519-0339,"org.eclipse.emf.common.ui",1519047557656
started,bundle,org.eclipse.emf.ecore,2.10.0.v20140514-1158,"org.eclipse.emf.ecore",1519047557657
started,bundle,org.eclipse.emf.ecore.xmi,2.10.0.v20140514-1158,"org.eclipse.emf.ecore.xmi",1519047557657
started,bundle,org.eclipse.emf.edit,2.10.0.v20140519-0339,"org.eclipse.emf.edit",1519047557658
started,bundle,org.eclipse.emf.edit.ui,2.10.0.v20140519-0339,"org.eclipse.emf.edit.ui",1519047557658
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1519047557658
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1519047557659
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1519047557659
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1519047557660
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1519047557660
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1519047557660
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1519047557661
